Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,final_label
6,1339,5,2,935,299.0,935,0,187.0,418.1447,299,0,149.5,211.42493,921583.25,5227.78173828125,223.16667,305.78256,796.0,3.0,1339.0,334.75,517.7016,1099.0,3.0,796.0,796.0,0.0,796.0,796.0,0,0,0,0,124,40,3734.13,1493.652,0,935,154.25,332.36844,110468.79,0,0,1,1,0,0,0,1,0,176.28572,187.0,149.5,0,0,0,0,0,0,5,935,2,299,65535,32768,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign
6,5041,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,396.7466735839844,5041.0,0.0,5041.0,5041.0,5041.0,5041.0,0.0,5041.0,5041.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,396.74667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDOS attack-HOIC,DDoS
6,5519830,4,4,97,231.0,97,0,24.25,48.5,231,0,57.75,115.5,59.42211988,1.449319997,788547.1,2.0590241e+06,5457688.0,42.0,62142.0,20714.0,35610.137,61833.0,102.0,5519665.0,1.8398884e+06,3.18627e+06,5519076.0,276.0,0,0,0,0,92,92,0.72466,0.72466,0,231,36.444443,79.69961,6352.028,0,0,0,1,0,0,0,0,1,41.0,24.25,57.75,0,0,0,0,0,0,4,97,4,231,8192,141,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign
6,6124335,11,7,1132,1581.0,661,0,102.90909,197.77232,1173,0,225.85715,430.0986,442.9868712277,2.9390946119,360255.0,674447.5,2792546.0,69.0,6124335.0,612433.5,861183.06,2792546.0,69.0,5508228.0,918038.0,1.145481e+06,3174034.0,157979.0,0,0,0,0,232,152,1.7961134,1.1429813,0,1173,142.78947,296.95053,88179.62,0,0,0,1,0,0,0,0,0,150.72223,102.90909,225.85715,0,0,0,0,0,0,11,1132,7,1581,8192,62868,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign
6,482335,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,4.146495693,482335.0,0.0,482335.0,482335.0,482335.0,482335.0,0.0,482335.0,482335.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,4.146496,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2049,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS
6,4115567,5,3,935,320.0,935,0,187.0,418.1447,320,0,106.666664,184.75209,304.93975830078125,1.9438390731811523,587938.1,1.5226782e+06,4040697.0,6.0,4115567.0,1.02889175e+06,2.0081605e+06,4040703.0,23.0,72895.0,36447.5,33175.33,59906.0,12989.0,0,0,0,0,168,104,1.2148994,0.72893965,0,935,139.44444,316.54822,100202.78,0,0,0,0,1,0,0,0,0,156.875,187.0,106.666664,0,0,0,0,0,0,5,935,3,320,237,211,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign
6,5006893,4,4,97,231.0,97,0,24.25,48.5,231,0,57.75,115.5,65.5096883436,1.5977972767,715270.44,1.8651898e+06,4944809.0,42.0,62084.0,20694.666,35525.6,61716.0,106.0,5006673.0,1.668891e+06,2.8900185e+06,5005997.0,336.0,0,0,0,0,92,92,0.79889864,0.79889864,0,231,36.444443,79.69961,6352.028,0,0,0,1,0,0,0,0,1,41.0,24.25,57.75,0,0,0,0,0,0,4,97,4,231,8192,141,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign
6,129491,2,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,23.16763327,64745.5,91535.68,129471.0,20.0,129491.0,129491.0,0.0,129491.0,129491.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,15.445088,7.722544,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,1024,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infilteration,Infiltration
6,11352,3,4,326,129.0,326,0,108.666664,188.21619,112,0,32.25,53.767246,40081.04299,616.6314306,1892.0,4077.6504,10200.0,22.0,508.0,254.0,285.67114,456.0,52.0,10918.0,3639.3333,5691.454,10200.0,26.0,0,0,0,0,72,92,264.2706,352.3608,0,326,56.875,115.406654,13318.696,0,0,1,1,0,0,0,1,1,65.0,108.666664,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot,Botnet
6,14637,3,4,326,129.0,326,0,108.666664,188.21619,112,0,32.25,53.767246,31085.60497,478.2400765,2439.5,5410.6045,13470.0,21.0,779.0,389.5,481.5397,730.0,49.0,13929.0,4643.0,7647.249,13470.0,21.0,0,0,0,0,72,92,204.96004,273.28003,0,326,56.875,115.406654,13318.696,0,0,1,1,0,0,0,1,1,65.0,108.666664,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot,Botnet
6,772,3,4,161,488.0,161,0,53.666668,92.95339,488,0,122.0,244.0,840673.575129534,9067.35751295337,128.66667,90.57961,251.0,0.0,435.0,217.5,118.08683,301.0,134.0,521.0,173.66667,172.51184,345.0,0.0,0,0,0,0,72,92,3886.0103,5181.347,0,488,81.125,173.78758,30202.125,0,0,0,1,0,0,0,0,1,92.71429,53.666668,122.0,0,0,0,0,0,0,3,161,4,488,8192,149,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign
6,86109680,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.023226192,8.61e+07,0.0,86100000.0,86100000.0,86100000.0,8.61e+07,0.0,86100000.0,86100000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.023226192,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,64000,-1,0,20,0.0,0.0,0.0,0.0,8.61e+07,0.0,86100000.0,86100000.0,Benign,Benign
6,18989,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,105.32413482666016,18989.0,0.0,18989.0,18989.0,18989.0,18989.0,0.0,18989.0,18989.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,105.324135,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS attacks-Hulk,DoS
17,159662,2,2,66,98.0,33,33,33.0,0.0,49,49,49.0,0.0,1027.1698964062,25.0529243026,53220.668,27519.33,84988.0,36673.0,122989.0,122989.0,0.0,122989.0,122989.0,121661.0,121661.0,0.0,121661.0,121661.0,0,0,0,0,16,16,12.526463,12.526463,33,49,39.4,8.763561,76.8,0,0,0,0,0,0,0,0,1,49.25,33.0,49.0,0,0,0,0,0,0,2,66,2,98,-1,-1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign
6,60652770,12,16,322,6531.0,191,0,26.833334,63.045197,1460,0,408.1875,637.5293,112.98742,0.461644209,2.246399e+06,4.264994e+06,10200000.0,1.0,60700000.0,5.513888e+06,5.253076e+06,10200000.0,196.0,60600000.0,4.042732e+06,5.107552e+06,10200000.0,1.0,0,0,0,0,252,392,0.19784752,0.2637967,0,1460,236.31035,506.93243,256980.5,0,0,1,1,0,0,0,1,1,244.75,26.833334,408.1875,0,0,0,0,0,0,12,322,16,6531,8192,125,7,20,33023.332,52324.867,139831.0,11628.0,1.01e+07,113487.49,10200000.0,9888748.0,Benign,Benign
6,1138,5,2,935,323.0,935,0,187.0,418.1447,323,0,161.5,228.3955,1105448.125,6151.142578125,189.66667,218.0474,527.0,6.0,1138.0,284.5,414.85782,889.0,6.0,527.0,527.0,0.0,527.0,527.0,0,0,0,0,124,40,4393.6733,1757.4692,0,935,157.25,333.9661,111533.36,0,0,1,1,0,0,0,1,0,179.71428,187.0,161.5,0,0,0,0,0,0,5,935,2,323,65535,32768,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign
17,113980176,11,0,352,0.0,32,32,32.0,0.0,0,0,0.0,0.0,3.08825633,0.09650801,1.14e+07,1.17e+07,34000000.0,1999971.0,114000000.0,1.14e+07,1.17e+07,34000000.0,1999971.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,88,0,0.09650801,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0,34.909092,32.0,0.0,0,0,0,0,0,0,11,352,0,0,-1,-1,10,8,2.98008e+06,0.0,2980080.0,2980080.0,2.02e+07,1.06e+07,34000000.0,9947984.0,Benign,Benign
6,60131218,9,7,1742,4113.0,770,0,193.55556,300.75702,1460,0,587.5714,665.0255,97.3703875415,0.2660847482,4.0087478e+06,1.5476147e+07,59951653.0,1.0,60131218.0,7.516402e+06,2.1187072e+07,59951653.0,226.0,104094.0,17349.0,14220.907,35002.0,1.0,0,0,0,0,192,152,0.14967267,0.11641208,0,1460,344.41177,507.10675,257157.25,0,0,0,1,0,0,0,0,0,365.9375,193.55556,587.5714,0,0,0,0,0,0,9,1742,7,4113,8192,1026,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign
6,4574048,5,4,935,736.0,935,0,187.0,418.1447,368,0,184.0,212.4649,365.3219299316406,1.9676225185394287,571756.0,1.4706191e+06,4206510.0,9.0,4574048.0,1.143512e+06,2.0473321e+06,4206519.0,18.0,330130.0,110043.336,104477.08,214850.0,5899.0,0,0,0,0,168,136,1.0931237,0.8744989,0,935,167.1,310.17,96205.43,0,0,0,0,1,0,0,0,0,185.66667,187.0,184.0,0,0,0,0,0,0,5,935,4,736,237,211,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign
6,11034,3,4,326,129.0,326,0,108.666664,188.21619,112,0,32.25,53.767246,41236.17908,634.4027551,1839.0,4137.9795,10279.0,1.0,474.0,237.0,272.9432,430.0,44.0,10625.0,3541.6667,5837.2363,10279.0,1.0,0,0,0,0,72,92,271.8869,362.51587,0,326,56.875,115.406654,13318.696,0,0,1,1,0,0,0,1,1,65.0,108.666664,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot,Botnet
6,5625104,6,3,363,165.0,235,0,60.5,91.32086,165,0,55.0,95.262794,93.864931208383,1.59997041832471,703138.0,1.9410996e+06,5506702.0,28.0,5625104.0,1.1250208e+06,2.491324e+06,5581595.0,48.0,97134.0,48567.0,37711.418,75233.0,21901.0,0,0,0,0,132,72,1.0666469,0.53332347,0,235,52.8,83.66972,7000.622,0,0,0,1,0,0,0,0,0,58.666668,60.5,55.0,0,0,0,0,0,0,6,363,3,165,8192,512,3,20,118354.0,0.0,118354.0,118354.0,5.506702e+06,0.0,5506702.0,5506702.0,Benign,Benign
6,4048503,14,8,1442,1731.0,725,0,103.0,191.12541,1179,0,216.375,405.46478,783.7464860468,5.4341073725,192785.86,305525.72,1048189.0,4.0,4048503.0,311423.3,400740.2,1209333.0,4.0,4005198.0,572171.1,464678.2,1251406.0,107278.0,0,0,0,0,292,172,3.4580684,1.976039,0,1179,137.95653,278.8795,77773.77,0,0,1,1,0,0,0,1,0,144.22728,103.0,216.375,0,0,0,0,0,0,14,1442,8,1731,8192,62643,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign
17,53473,1,1,37,96.0,37,37,37.0,0.0,96,96,96.0,0.0,2487.2365492866,37.4020533727,53473.0,0.0,53473.0,53473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,18.701027,18.701027,37,96,56.666668,34.063667,1160.3334,0,0,0,0,0,0,0,0,1,85.0,37.0,96.0,0,0,0,0,0,0,1,37,1,96,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign
6,181446,9,7,556,3536.0,205,0,61.77778,88.1402,1410,0,505.14285,632.71545,22552.1642802817,88.1805054947,12096.4,28685.533,111563.0,0.0,181446.0,22680.75,37153.805,111563.0,20.0,158780.0,26463.334,53616.773,134315.0,0.0,0,0,0,0,192,152,49.601536,38.57897,0,1410,240.70589,454.12604,206230.47,0,0,0,1,0,0,0,0,0,255.75,61.77778,505.14285,0,0,0,0,0,0,9,556,7,3536,8192,115,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign
6,15647,3,4,268,935.0,268,0,89.333336,154.72987,935,0,233.75,467.5,76883.75,447.3701171875,2607.8333,5604.6187,14001.0,3.0,14300.0,7150.0,9688.777,14001.0,299.0,15639.0,5213.0,7892.138,14295.0,21.0,0,0,0,0,72,92,191.73004,255.64006,0,935,150.375,330.61584,109306.836,0,0,1,1,0,0,0,1,1,171.85715,89.333336,233.75,0,0,0,0,0,0,3,268,4,935,65535,219,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDOS attack-HOIC,DDoS
6,6731678,4,4,97,232.0,97,0,24.25,48.5,232,0,58.0,116.0,48.873401253,1.1884109727,961668.3,2.517768e+06,6671207.0,45.0,60471.0,20157.0,34589.996,60098.0,115.0,6731465.0,2.2438218e+06,3.8859758e+06,6730960.0,194.0,0,0,0,0,92,92,0.5942055,0.5942055,0,232,36.555557,80.00486,6400.778,0,0,0,1,0,0,0,0,1,41.125,24.25,58.0,0,0,0,0,0,0,4,97,4,232,8192,141,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign
17,807,1,1,40,100.0,40,40,40.0,0.0,100,100,100.0,0.0,173482.0322,2478.314746,807.0,0.0,807.0,807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,1239.1573,1239.1573,40,100,60.0,34.641018,1200.0,0,0,0,0,0,0,0,0,1,90.0,40.0,100.0,0,0,0,0,0,0,1,40,1,100,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign
6,5667632,4,4,97,231.0,97,0,24.25,48.5,231,0,57.75,115.5,57.8724941915777,1.41152424857507,809661.7,2.1150145e+06,5605789.0,34.0,61843.0,20614.334,35272.11,61343.0,192.0,5667474.0,1.889158e+06,3.2714698e+06,5666726.0,197.0,0,0,0,0,92,92,0.70576215,0.70576215,0,231,36.444443,79.69961,6352.028,0,0,0,1,0,0,0,0,1,41.0,24.25,57.75,0,0,0,0,0,0,4,97,4,231,8192,141,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign
6,11392,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,175.56179809570312,11392.0,0.0,11392.0,11392.0,11392.0,11392.0,0.0,11392.0,11392.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,175.5618,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS attacks-Hulk,DoS
6,115918271,19,16,1319,2364.0,436,0,69.42105,163.08359,788,0,147.75,317.65295,31.7723855629,0.3019368707,3.409361e+06,4.6736625e+06,10006369.0,29.0,115906938.0,6.4392745e+06,4.6775365e+06,10017797.0,2521.0,115906823.0,7.7271215e+06,4.0154365e+06,10023728.0,966.0,0,0,0,0,392,464,0.16390859,0.13802828,0,788,102.30556,242.38928,58752.562,0,0,0,1,0,0,0,0,0,105.22857,69.42105,147.75,0,0,0,0,0,0,19,1319,16,2364,8192,292,14,20,539602.6,1.7520556e+06,5822249.0,11223.0,9.997392e+06,21928.592,10006369.0,9931354.0,Benign,Benign
6,1440741,3,4,20,964.0,20,0,6.6666665,11.547006,964,0,241.0,482.0,682.9818822,4.858610951,240123.5,588001.25,1440376.0,5.0,332.0,166.0,159.80614,279.0,53.0,1440735.0,480245.0,831497.9,1440376.0,28.0,0,0,0,0,72,92,2.0822618,2.776349,0,964,123.0,339.8874,115523.43,0,0,1,1,0,0,0,1,1,140.57143,6.6666665,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS
6,268,3,0,31,0.0,31,0,10.333333,17.897858,0,0,0.0,0.0,115671.641791045,11194.0298507463,134.0,108.89445,211.0,57.0,268.0,134.0,108.89445,211.0,57.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,11194.03,0.0,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.333333,10.333333,0.0,0,0,0,0,0,0,3,31,0,0,258,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign
17,2316,1,1,30,122.0,30,30,30.0,0.0,122,122,122.0,0.0,65630.3972366149,863.5578583765,2316.0,0.0,2316.0,2316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,431.77893,431.77893,30,122,60.666668,53.116226,2821.3333,0,0,0,0,0,0,0,0,1,91.0,30.0,122.0,0,0,0,0,0,0,1,30,1,122,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign
6,170338,8,8,509,7502.0,194,0,63.625,85.642006,1460,0,937.75,710.0482,47030.0226608273,93.9308903474,11355.866,24265.879,90209.0,0.0,170338.0,24334.0,36800.676,101617.0,15.0,65223.0,9317.571,19330.662,52069.0,0.0,0,0,0,0,172,172,46.965446,46.965446,0,1460,471.2353,655.4026,429552.56,0,0,0,1,0,0,0,0,1,500.6875,63.625,937.75,0,0,0,0,0,0,8,509,8,7502,8192,60,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign
6,4013420,13,8,1439,1731.0,725,0,110.69231,196.60764,1179,0,216.375,405.46478,789.8500530719,5.2324451465,200671.0,302043.5,1042226.0,3.0,4013420.0,334451.66,422778.2,1331347.0,3.0,3918088.0,559726.9,497681.53,1365606.0,107484.0,0,0,0,0,272,172,3.2391326,1.9933125,0,1179,144.09091,283.8284,80558.56,0,0,1,1,0,0,0,1,0,150.95238,110.69231,216.375,0,0,0,0,0,0,13,1439,8,1731,8192,62646,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign
